dossier,fichier,age,sexe,niveau_etude,categorie_professionnelle,phoneme,duree,cog,skew
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_4.wav,vieux,homme,bac+5 et plus,retraites,s,30,5478.399339445195,-0.23011133380245188
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_4.wav,vieux,homme,bac+5 et plus,retraites,s,30,2263.1794364133766,1.5874054835309892
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_6.wav,vieux,homme,bac+5 et plus,retraites,s,120,4061.2174176465737,1.5425492478669118
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_6.wav,vieux,homme,bac+5 et plus,retraites,s,120,4586.694758113605,0.4138079522518964
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_6.wav,vieux,homme,bac+5 et plus,retraites,s,100,4015.8573381956667,0.4609879739263872
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_6.wav,vieux,homme,bac+5 et plus,retraites,s,60,3162.086663785366,0.7132016858519369
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_6.wav,vieux,homme,bac+5 et plus,retraites,s,50,1995.9137842248165,1.584827750882519
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_6.wav,vieux,homme,bac+5 et plus,retraites,s,100,4022.7101300273953,0.25822604871240146
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_6.wav,vieux,homme,bac+5 et plus,retraites,s,120,1132.0563137562785,2.5164243199701115
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_12.wav,vieux,homme,bac+5 et plus,retraites,s,80,4610.315833170762,0.23997174007771954
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_12.wav,vieux,homme,bac+5 et plus,retraites,s,110,2271.4972393961634,1.3770446660516604
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_12.wav,vieux,homme,bac+5 et plus,retraites,s,100,2891.7686784080574,0.8380041924672537
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_15.wav,vieux,homme,bac+5 et plus,retraites,s,110,2320.9283614315623,1.2558179849062105
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_17.wav,vieux,homme,bac+5 et plus,retraites,s,80,2268.7330967814464,1.111542927932635
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_20.wav,vieux,homme,bac+5 et plus,retraites,s,140,3468.482826338439,0.37838924810647073
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_21.wav,vieux,homme,bac+5 et plus,retraites,s,60,2203.633517009923,1.2166704707176645
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_27.wav,vieux,homme,bac+5 et plus,retraites,s,110,5313.384844047586,-0.2892235646478101
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_27.wav,vieux,homme,bac+5 et plus,retraites,s,80,2066.1184009079143,1.4279629568197456
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_28.wav,vieux,homme,bac+5 et plus,retraites,s,70,4071.8448962857024,0.16912216498108584
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_28.wav,vieux,homme,bac+5 et plus,retraites,s,80,3076.4750211906567,0.8237241732577242
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_28.wav,vieux,homme,bac+5 et plus,retraites,s,160,6553.873143609691,-0.509710337024285
ESLO2_DIA_1221,ESLO2_DIA_1221_T1_28.wav,vieux,homme,bac+5 et plus,retraites,s,160,5980.761323936257,-0.16038805188814512
