directory,age,total_duration,loc_duration
ESLO2_ENT_1002,46,01:07:0,33:09
ESLO2_ENT_1001,23,01:08:4,13:47
ESLO2_ENT_1007,29,00:46:5,14:40
ESLO2_ENT_1006,80,02:08:2,43:15
ESLO2_ENT_1005,49,01:02:1,36:10
ESLO2_ENT_1004,62,01:08:5,33:50
ESLO2_ENT_1003,21,01:20:1,21:51
ESLO2_ENT_1008,44,01:12:3,32:50
ESLO2_ENT_1009,66,01:11:3,36:05
ESLO2_ENT_1010,31,00:58:2,24:41
ESLO2_ENT_1011,66,01:07:4,13:47
ESLO2_ENT_1013,27,01:03:4,31:30
ESLO2_ENT_1014,63,01:17:2,38:15
ESLO2_ENT_1015,73,01:10:2,31:40
ESLO2_ENT_1016,52,01:00:0,23:45
ESLO2_ENT_1017,28,00:50:3,13:03
ESLO2_ENT_1018,55,00:51:0,21:41
ESLO2_ENT_1019,28,00:46:5,16:03
ESLO2_ENT_1020,52,00:52:2,21:39
ESLO2_ENT_1021,52,01:22:3,29:57
ESLO2_ENT_1032,69,01:02:4,28:48
ESLO2_ENT_1022,60,00:59:3,24:54
ESLO2_ENT_1023,68,01:11:5,22:16
ESLO2_ENT_1024,85,01:04:3,14:48
ESLO2_ENT_1025,56,01:05:2,05:02
ESLO2_ENT_1026,23,01:41:5,54:59
ESLO2_ENT_1027,41,00:51:2,27:53
ESLO2_ENT_1028,58,00:54:5,20:20
ESLO2_ENT_1029,54,01:42:5,56:15
ESLO2_ENT_1030,89,01:16:5,17:12
ESLO2_ENT_1031,36,00:51:5,28:39
ESLO2_ENT_1033,44,00:55:4,13:44
ESLO2_ENT_1034,45,01:23:5,46:07
ESLO2_ENT_1035,68,00:55:4,17:04
ESLO2_ENT_1036,49,00:53:3,20:21
ESLO2_ENT_1037,39,01:19:0,39:59
ESLO2_ENT_1038,21,01:18:0,40:21
ESLO2_ENT_1039,67,01:07:1,34:43
ESLO2_ENT_1041,30,01:11:0,32:53
ESLO2_ENT_1042,32,00:47:5,09:23
ESLO2_ENT_1043,39,00:42:1,22:25
ESLO2_ENT_1044,32,00:57:5,20:34
ESLO2_ENT_1045,50,00:50:4,13:43
ESLO2_ENT_1046,58,01:18:3,36:32
ESLO2_ENT_1047,25,00:55:2,18:26
ESLO2_ENT_1048,24,00:45:3,12:30
ESLO2_ENT_1049,46,02:10:0,73:58
ESLO2_ENT_1050,35,00:48:3,19:51
ESLO2_ENT_1051,48,00:41:1,15:10
ESLO2_ENT_1052,89,01:01:1,28:17
ESLO2_ENT_1053,40,00:40:5,07:14
ESLO2_ENT_1054,56,01:55:2,51:50
ESLO2_ENT_1055,45,01:01:2,06:39
ESLO2_ENT_1056,36,00:56:3,08:03
ESLO2_ENT_1057,43,01:18:3,22:35
ESLO2_ENT_1058,36,01:09:5,21:05
ESLO2_ENT_1060,41,01:01:2,25:53
ESLO2_ENT_1062,33,00:29:0,07:03
ESLO2_ENT_1063,68,01:06:1,16:16
ESLO2_ENT_1065,74,00:52:2,17:52
ESLO2_ENT_1066,65,01:03:5,23:33
ESLO2_ENT_1272,36,01:23:3,44:40
ESLO2_ENT_1085,50,00:56:2,16:04
ESLO2_ENT_1084,63,01:54:2,57:26
ESLO2_ENT_1083,32,01:24:0,37:59
ESLO2_ENT_1082,30,01:00:2,19:42
ESLO2_ENT_1079,71,01:04:3,26:12
ESLO2_ENT_1078,80,01:00:2,24:09
ESLO2_ENT_1077,51,00:53:1,17:40
ESLO2_ENT_1076,40,00:41:4,17:34
ESLO2_ENT_1075,26,00:38:4,08:22
ESLO2_ENT_1071,33,00:46:2,12:34
ESLO2_ENT_1070,37,00:56:1,20:30
ESLO2_ENT_1069,62,00:51:1,20:19
ESLO2_ENT_1067,58,01:24:0,45:17
