fichier,age,classe_age,phoneme,left,right,duration,COG,spectral_tilt,f0,harmonicity,CPP
labise_1235,22,young,_,None,l,870,1325.1534459940394,-6.4799524735226735,205.75959588263893,-5.4939204222937645,5.275762237003571
labise_1235,22,young,l,_,a,70,282.01158378003134,-25.321393644224916,205.75959588263893,10.179837264158607,3.2434192442982477
labise_1235,22,young,a,l,b,90,654.3959667074429,-16.928410211543007,212.80170405679215,4.959350744163144,8.95205769986973
labise_1235,22,young,b,a,i,80,277.64867089667126,-32.321723840766985,201.8600838098914,3.6268743795963947,5.012323591111661
labise_1235,22,young,i,b,z,160,399.6752760483251,-18.132715932066038,239.60978944336614,4.698285223863027,6.837405205631931
labise_1235,22,young,z,i,_,90,390.6269503453739,-23.34453118379264,235.81886113118742,5.336992013999865,5.685112325356161
labise_1235,22,young,_,z,e,30,525.9806871460422,-16.96093667802685,241.39979819965635,6.612353608614136,5.214110088296644
labise_1235,22,young,e,_,l,110,467.67876319702884,-14.142812304737596,216.53495013901247,4.572272157682425,8.903422589553713
labise_1235,22,young,l,e,ə,10,379.20380817899746,-16.608694179584937,207.69445004357146,3.495671545039815,8.932813115966182
labise_1235,22,young,ə,l,s,60,438.51030102773205,-22.519325601733136,211.13182014633065,6.225347960824327,7.9772853187216395
labise_1235,22,young,s,ə,ɔ,120,3658.7290584977695,1.5553574780816646,210.67592904410722,3.7268900293902725,4.395537153691082
labise_1235,22,young,ɔ,s,l,80,474.2018730309799,-21.057427713901006,236.46588852669421,5.78281493849064,9.055896355084865
labise_1235,22,young,l,ɔ,ɛ,10,350.08909963454596,-26.05160668504333,225.4712052714499,3.6131552058897314,3.6146897921163506
labise_1235,22,young,ɛ,l,j,90,585.1191562300277,-13.863920585447874,238.0349160265712,4.848307771373716,7.940394465493206
labise_1235,22,young,j,ɛ,s,50,457.6994934349087,-19.996810718767012,237.6520220943286,6.032356573194372,6.569050675389691
labise_1235,22,young,s,j,ə,80,4605.039398536928,7.154518978928783,228.73960212014197,5.165187341779964,3.705471341412431
labise_1235,22,young,ə,s,d,50,394.7620089532531,-22.200301802494835,215.75829877112412,6.167535217196152,5.8884308736867546
labise_1235,22,young,d,ə,i,60,280.27732052410363,-30.735674956561336,202.3285452577704,3.264579236173563,4.927102898410386
labise_1235,22,young,i,d,s,60,371.07274578936097,-19.793980765637937,219.36466493329527,5.110394950275834,8.053191836088176
labise_1235,22,young,s,i,p,40,4740.406117206918,7.6715042096759944,209.83701950917887,3.0918608798105875,4.911095337421542
labise_1235,22,young,p,s,y,80,831.8803578320592,-8.564501479865973,222.72012360360517,-1.5502439054554769,4.404771822386009
labise_1235,22,young,y,p,t,80,381.10740136863933,-15.956294098340882,214.13682044297596,4.562939162603909,5.539082575920826
labise_1235,22,young,t,y,ɛ,80,595.6531521100932,-14.007989435049307,205.39935059267262,4.684634664656554,3.8791399549745487
labise_1235,22,young,ɛ,t,_,190,475.733404471439,-21.246416472501636,239.3133161298777,5.198378561942745,9.42749790222689
labise_1235,22,young,_,ɛ,ʃ,110,1432.559594746347,-3.472255338556711,244.68913353983106,-4.009701345413584,4.56698198770242
labise_1235,22,young,ʃ,_,a,110,3600.1784910546057,15.399563631439051,251.11381038422454,0.6474823538480508,4.749453749381747
labise_1235,22,young,a,ʃ,c,70,588.0441004870155,-14.08790414677991,221.65607070515227,6.6622001228486205,6.7153981527566025
labise_1235,22,young,c,a,ɛ̃,70,447.39309550604924,-20.15198060151592,214.8003851284164,4.524500455924949,4.6093261979454105
labise_1235,22,young,ɛ̃,c,a,90,650.0340772607893,-16.941277048815437,243.92550504249039,6.746145992555102,9.248795587396405
labise_1235,22,young,a,ɛ̃,s,70,613.7188492439025,-18.421926743703672,238.47224081347707,4.445702713758503,7.940266053206802
labise_1235,22,young,s,a,y,110,5182.873570530231,10.530489865405247,225.5504066675971,3.8433207444981354,4.5596807916032205
labise_1235,22,young,y,s,ʁ,50,405.416981308465,-18.145146395921003,231.09419729548546,-0.05584806889895795,4.340515763997066
